code,system
16C4.00,readv2
16C5.00,readv2
16C9.00,readv2
16CA.00,readv2
8HTH.00,readv2
N142.11,readv2
N149.00,readv2
N14y.11,readv2
N23yE00,readv2
7287A,oxmis
7289C,oxmis
7289CA,oxmis
7289CC,oxmis
7289CE,oxmis
7289CI,oxmis
7289H,oxmis
7289J,oxmis
7289PL,oxmis
16C6.00,readv2
N140.11,readv2
N140200,readv2
N140z00,readv2
1A53.12,readv2
25C..13,readv2
25C5.00,readv2
25C7.00,readv2
7287B,oxmis
7288RP,oxmis
F350.00,readv2
J3A..00,readv2
J3A0.00,readv2
J3A1.00,readv2
J3A2.00,readv2
J3A3.00,readv2
J3Ay.00,readv2
J3Az.00,readv2
N12C400,readv2
N143.00,readv2
N143.11,readv2
353,oxmis
353 HP,oxmis
353 PP,oxmis
353 T,oxmis
5518AT,oxmis
7251D,oxmis
7289A,oxmis
7289D,oxmis
N12..13,readv2
N142.13,readv2
N145.11,readv2
353 A,oxmis
7289CT,oxmis
N140.00,readv2
N140000,readv2
N140100,readv2
N140300,readv2
N140400,readv2
N140500,readv2
N140600,readv2
N141.00,readv2
N141.11,readv2
N144.00,readv2
N144000,readv2
N144011,readv2
N144z00,readv2
N148.00,readv2
N148300,readv2
N148400,readv2
N148A00,readv2
N148B00,readv2
N140700,readv2
N140800,readv2
N140900,readv2
N140A00,readv2
N142.00,readv2
N148600,readv2
N14z.11,readv2
n142.00,readv2
7289CG,oxmis
7289G,oxmis
N142.12,readv2
N142.14,readv2
N142000,readv2
N144100,readv2
N146000,readv2
N146200,readv2
N146300,readv2
N146500,readv2
N145.00,readv2
N145.12,readv2
N146100,readv2
N146400,readv2
N146600,readv2
N146311,readv2
N146z11,readv2
N147100,readv2
N147211,readv2
N147200,readv2
N148000,readv2
N148700,readv2
N148100,readv2
N148800,readv2
N148200,readv2
N148900,readv2
N148500,readv2
N148C00,readv2
SJ60.00,readv2
SJ60000,readv2
SJ60100,readv2
353 C,oxmis
7289CB,oxmis
353 NP,oxmis
353 NT,oxmis
7289B,oxmis
7289CF,oxmis
7289CH,oxmis
7289E,oxmis
